"","region","supplysector","year","base.service"
"234","Russia","FoodDemand_NonStaples",2010,83.4337455
"235","Russia","FoodDemand_NonStaples",2015,89.6802825
"236","Russia","FoodDemand_Staples",1975,85.1447624
"237","Russia","FoodDemand_Staples",1990,89.7158794
"238","Russia","FoodDemand_Staples",2005,81.9389772
"239","Russia","FoodDemand_Staples",2010,79.6701905
"240","Russia","FoodDemand_Staples",2015,79.2438605
"241","South Africa","FoodDemand_NonStaples",1975,6.8511367
"242","South Africa","FoodDemand_NonStaples",1990,9.7392699
"243","South Africa","FoodDemand_NonStaples",2005,14.8874473
"244","South Africa","FoodDemand_NonStaples",2010,20.3183444
"245","South Africa","FoodDemand_NonStaples",2015,24.2501637
"246","South Africa","FoodDemand_Staples",1975,17.478908
"247","South Africa","FoodDemand_Staples",1990,25.1028981
"248","South Africa","FoodDemand_Staples",2005,33.8505753
"249","South Africa","FoodDemand_Staples",2010,32.2864858
"250","South Africa","FoodDemand_Staples",2015,32.8020909
"251","South America_Northern","FoodDemand_NonStaples",1975,5.4502899
"252","South America_Northern","FoodDemand_NonStaples",1990,7.7104177
"253","South America_Northern","FoodDemand_NonStaples",2005,10.6529011
"254","South America_Northern","FoodDemand_NonStaples",2010,15.4757619
"255","South America_Northern","FoodDemand_NonStaples",2015,15.7927362
"256","South America_Northern","FoodDemand_Staples",1975,5.4441796
"257","South America_Northern","FoodDemand_Staples",1990,9.8581019
"258","South America_Northern","FoodDemand_Staples",2005,13.0666452
"259","South America_Northern","FoodDemand_Staples",2010,15.5016631
"260","South America_Northern","FoodDemand_Staples",2015,12.6660956
"261","South America_Southern","FoodDemand_NonStaples",1975,13.2173583
"262","South America_Southern","FoodDemand_NonStaples",1990,18.1004969
"263","South America_Southern","FoodDemand_NonStaples",2005,26.6653914
"264","South America_Southern","FoodDemand_NonStaples",2010,35.2362561
"265","South America_Southern","FoodDemand_NonStaples",2015,41.8885269
"266","South America_Southern","FoodDemand_Staples",1975,18.6071942
"267","South America_Southern","FoodDemand_Staples",1990,26.2893212
"268","South America_Southern","FoodDemand_Staples",2005,35.9843814
